category,article
medical treatments,Wintel
website management,SAP Solution Manager
15th-century italian writers,Microscopy
bartending equipment,CTT+
jersey,Portlets
wars involving costa rica,IDMS
android (operating system) development software,PIC microcontrollers
nvidia software,Securities
google maps,OS X Server
document-centric xml-based standards,FileZilla
university towns in the united states,Aeronautics
great recession in the united states,Kofax
carnegie mellon university,Apple Keynote
netscape,Apache Attic
taxa named by elias magnus fries,Zendesk
synthetic diamond,EMV
linux distributions,Capistrano
free accounting software,Power management
hellenistic engineering,Adobe CS
sensors,GMLAN
american magicians,Office Assistant
salvadoran musical instruments,ARINC 429
financial statements,HTML5
low-power fm radio stations in virginia,GIOP
professional sports leagues in canada,PKCS
umts (telecommunication),Informatica
tetrapod common names,Cross-browser
radio stations in connecticut,Log shipping
nuclear medicine,FMCG
indian premier league franchise owners,Granite
sony software,Emacs
channel access methods,PCI DSS
distributed file systems,Direct sales
finite element software,Product intelligence
epic games,Apache Drill
nokia,2D animation
inocybe,Technical support
ac with 15 elements,Junos
electronic health records,Radiographic testing
computer performance,Information security management
economics models,NVivo
windows word processors,WiMAX
low-power fm radio stations in virginia,RBAC
one-party states,Business systems
international business,Replication
social programs,Video production
ac with 19 elements,Test methods
musical forms,Project governance
spokespersons,IT infrastructure
business process,Visual FoxPro
cryptography standards,Microsoft Visual C#
submarine warfare,SVG
aerospace engineering,H.323
design engineering,MIT
build automation,IDMS
sound recording,IT
configuration management,ExactTarget
energy and instincts,ASC X12
telegraphy,osCommerce
signage,Palm OS
newspaper content,IT performance management
"chemical, biological, radiological and nuclear defense",3G-324M
podcasting,Drawing
emulation software,ASC X12
digital divide,CFO
conceptual art,Educational technology
building energy rating,Strategic thinking
pakistani films,Banking software
macos graphics software,Underwriting
freeware,Clarizen
calendaring software,Software metrics
radio spectrum,Office automation
engine technology,Oracle Fusion
electric vehicle battery manufacturers,LoadUI
emi,Echo cancellation
science and technology in europe,ICD-10
healthcare management,Podcast
macos network-related software,Microsoft Windows 2000
build automation,Multiplexing
computer ethics,Pascal
typography,OUD
developmental psychology,Laptop
inquisitors,Organizational development
national symbols of syria,3D rendering
tibia,TACACS+
grid computing,XMLSpy
aid,21 CFR Part 11
xbase programming language family,MCMS
storage software,Interface design
chinese culture,Regular expression
types of espionage,ROBOT
prismatoid polyhedra,OFCCP
conservation,Microsoft App-V
international relations,WebObjects
software using the bsd license,Business relationship management
tests,3G-324M
legal communication,Publisher
windows security software,ISO 9000
accounting software,Production support
entrepreneurship,Statistical process control
huawei,Legacy systems
shades of black,Adobe ImageReady
systems analysis,Bamboo
adobe software,Computer repair
algol 58 dialect,VMware Infrastructure
people with poliomyelitis,UniVerse
control-flow analysis,Demand forecasting
stochastic simulation,Virtual Machine Manager
learning,SDLC
animation,HITECH
roman epirus,FEAF
mathematical terminology,Art director
professional sports leagues in canada,NUnit
syntax,MongoLab
file comparison tools,Cobbler
energy and instincts,IP address management
software development process,Location-based services
theft,MVVM
international relations,Play Framework
software forks,Global Operations
computer storage media,MPLS VPN
history of mining,Engineering technician
military intelligence,MASINT
technical universities and colleges in mexico,EMC Invista
signage,Hogan
user interface techniques,RBAC
terminal emulators,Routing protocols
stonemasonry,Object Data Manager
secure communication,Turbo Pascal
reprise records artists,Performance attribution
conceptual art,ProLiant
nursing,Oracle Ultra Search
malian musical groups,Mastercam
employee benefits,Usability testing
terrorism in lebanon,3G Bridge
wedding clothing,RFDS
internet architecture,QBasic
digital typography,Nginx
feature detection (computer vision),STATISTICA
"urbandale, iowa",Adobe Ovation
software modeling language,Microsoft SharePoint Designer
algebraic graph theory,ARINC
educational television,iMacros
mobile route-planning software,Esri
morality,Adobe BrowserLab
blackberry limited,Dell
mules,Tuxedo
microsoft office servers,Data structure
television channels in italy,Google Docs
intelligence assessment,Medical terminology
digital library software,Cluster
grid computing,Cobbler
electric vehicle battery manufacturers,ATPG
ibm mainframe technology,Apache HBase
graphics file formats,Antivirus
presidents,Apache Sqoop
free ftp clients,Oracle OLAP
sociology of scientific knowledge,Ruby
mariadb,ERwin
video games set in peru,Creativity
radar signal processing,Design management
key management,Applied mechanics
communication design,Motion control
operating system distributions bootable from read-only media,Librarian
english alternative rock groups,Health information management
sony software,SAP HANA
submarine warfare,Apache Mobile Filter
democratic party (united states) vice presidential nominees,Physical data model
warehouses,IMAP
nepali-speaking countries and territories,Supervised learning
grammar frameworks,Production orders
general electric healthcare subsidiaries,TeamSite
adobe photoshop,Security engineering
irish musical instruments,Synopsys
web 2.0,GDB
insurance legislation,Server hardware
digital library software,lighttpd
document-oriented databases,MetaCDN
public-domain software with source code,Static timing analysis
export and import control,Wealth management
ftp server software,Complex sales
violins,Agile
developmental psychology,Hercules
american medical research,Amazon RDS
ultra-dense servers,Mediation
public sector,SSD
egyptian artefact types,osCommerce
wars involving british india,JSON
programming language topics,Securities
wars involving liberia,CFO
office suites for macos,Sublime Text
computer standards,XSD
italian friars minor,IBM Tivoli Workload Scheduler
university towns in switzerland,Project+
cities in the san francisco bay area,Platinum
environmental standards,ZBrush
ftp server software,JFace
office suites,iOS
history of labor relations in the united states,Multivariate testing
industrial processes,Data visualization
managed care,Injection molding
load balancing,CRM
widget toolkits,FileMaker Pro
american philanthropists,Cashier
national symbols of syria,C++Builder
amplifiers,NetFlow
brazilian styles of music,SolidWorks
speech recognition software,WebGL
mechanics (trade),OSGi
resource description framework,WWI
precious metals,Cinema 4D
proprietary software that uses qt,IMAP
adobe photoshop,Knowledge sharing
federal constitutional republics,Real estate management
windows network-related software,Amazon Mechanical Turk
business terms,Content creation
documents,RTL
knowledge sharing,Apache Axis2
molecular modelling,Systems design
italian opera terminology,JVM
resources,HLLAPI
video games set in russia,IPVPN
conservative parties in the united states,Adobe Presenter
macos development,Oracle Policy Automation
dec operating systems,ASP.NET AJAX
france–germany border crossings,Lighting
hdr tone mapping software,Project accounting
dance music,Cross-browser
"roseland, new jersey",Knowledge sharing
speech processing,Linux
wars involving australia,CCSE
google maps,I2C
microtechnology,ARINC
wars involving rhodesia,SIP
interior design,Vector graphics
hugo award-winning works,TBMCS
healthcare software for windows,Planning
conservative parties in the united states,Finite element
units of length,Apple Remote Desktop
measurement,Codecs
innovation economics,IBM
military intelligence,WWAN
architectural design,Computer graphics
alumni of the école des beaux-arts,Microsoft PowerPoint
infectious causes of cancer,IBM Query Management Facility
environmental law in china,Codecs
financial statements,Razor
internet mail protocols,DoDAF
software that uses wxpython,Communications security
consultants,Business software
works with imslp links,JPA
hugo award-winning works,HP OpenView
aptitude,Yield management
virginia commonwealth university,DVO
medical ethics,MVP
information technology audit,Scaleform
geographic coordinate lists,Art director
good practice,Editorial
official documents,Apache Axis2
microkernels,Inkscape
motor control,StarTeam
economics terminology,IBM Rational Quality Manager
classic hits radio stations in the united states,Apache Subversion
planning,Analysis of variance
jet propulsion laboratory,OpenKM
legal communication,PCB
apple inc. services,TypeScript
wars involving rhodesia,Final Cut Studio
meaning (philosophy of language),JavaBeans
salvadoran musical instruments,LS-DYNA
angels,Arbortext
models of computation,Ethnography
proprietary cross-platform software,Telecommuting
models of computation,Financial forecast
ansi standards,CNC
algol programming language family,Circuit analysis
shaving,RBAC
electronic health records,Order management
educational assessment and evaluation,Wet chemistry
foundries,Panvalet
interior design,Real estate
planning,Korean
medical imaging,CATT
windows remote administration software,Software architecture
renaissance scientists,Training
operating systems based on the linux kernel,Microsoft Visio
monsters,PythonAnywhere
hard disk software,Ontologies
chemical safety,Mobile security
direct marketing,SysML
algebraic graph theory,PHP
software development,Changeman
linux integrated development environments,XIV
internet explorer,Spectrum management
history of mining,Sabre
hardware verification languages,Gentran
macos instant messaging clients,iPXE
iberian peninsula,Regulatory affairs
pascal programming language family,TestStand
mobile web,Application service management
auctions,MPEX
printing materials,Consensus decision-making
silk,Database marketing
global positioning system,Windchill
spiritualism,Backflush accounting
statistical data agreements,XSD
inside out music albums,Material handling
software written primarily in assembly language,Chinese
macos audio editors,Crypto++
engineering universities and colleges in massachusetts,C++
cross-platform web browsers,Strategic alliance
translation software,DIAMETER
"rivers of middlesex county, massachusetts",Quicken
cash flow,Cairngorm
automotive lamps,Product innovation
history of computing hardware,Service level
cycling in california,OmniPlan
military communications,Mechanic
applied learning,Provisioning
qwest records artists,Accountability
group decision-making,SPARQL
specification languages,JBoss Seam
charles river,Amazon Glacier
north america-centric,PDCA
encryption devices,TIPQA
irish musical instruments,Purchase orders
web browsers that use gtk+,Yield management
applied ethics,SAP
national symbols of serbia,Google Analytics
polyatomic nonmetals,Object Data Manager
webmail,Kanban
boot loaders,ARINC 653
recommender systems,Mobile device forensics
internet privacy,Microsoft Access
companies in the dow jones industrial average,AMPL
smalltalk programming language family,SDK
college of william & mary,Virtual desktop
stonemasonry,Smart grid
federal constitutional republics,Multivariate testing
joomla extensions,Web analytics
liberalism,Performance tuning
veterinary medicine,Professional development
north american numbering plan,Web intelligence
business process modelling,Continuous integration
student culture,FFmpeg
electronics industry in london,A/B testing
free web server software,Product lifecycle management
commodities used as an investment,Remote direct memory access
soccer leagues in canada,Passive optical network
meteorological data and networks,XMLSpy
symbian os,Training needs analysis
gsm standard,KNIME
inquisitors,Online advertising
functional analysis,Disk encryption
computational complexity theory,Sound design
computer programming tools,PDA
film and video technology,Accounting management
plant subfamilies,Functional management
university towns in switzerland,Educational technology
currencies of the united states,Antivirus
android (operating system) development software,LogLogic
lgbt themes in mythology,Organizational structure
bamboo,Assisted GPS
disaster recovery,Apache Tuscany
algorithmic trading,Apache Sling
haskell programming language family,Oracle OLAP
cisco systems,Water treatment
academy award for technical achievement winners,OpenDocument
political science,Adobe Shockwave
collaborative projects,Partner relationship management
renaissance scientists,OCAP
faster-than-light communication,Signal integrity
statistical theory,Hitachi
free accounting software,Electronic engineering
east slavic languages,Oracle Data Guard
kennedy center honorees,Virtual office
wamp,Credit risk
advertising occupations,Investment control
key management,IBM Lotus Forms
malnutrition organizations,Verint
storage software,HP Data Protector
ibm mainframe computers,Apache Aries
lossy compression algorithms,WinSCP
birds of prey,Google Search Appliance
persecution of muslims,Mobile marketing
proprietary software that uses qt,Software documentation
comics adapted into animated series,BSD
social concepts,Specification
rtt,WLAN
"cities in santa clara county, california",IBM Tivoli Workload Scheduler
distributed computing problems,Online advertising
organizational behavior,SCaViS
cryptographic protocols,NetScout
microblogging,Performance engineering
web scraping,Inspection
perimeter security,Google Drive
webmail,KANA
american male voice actors,PSP
aid,Sound design
non-timber forest products,WSFTP
free photo software,Voronoi diagrams
membrane biology,RFID
national symbols of syria,Health informatics
digital typography,Software metrics
data clustering algorithms,S-PLUS
tax reform,Content marketing
national symbols of ghana,Implementation
petroleum production,System on a chip
automotive software,Automotive
deified people,Workforce management
medical terminology,Total quality management
programming languages created by women,IBM Tivoli Workload Scheduler
opentravel alliance,FLTK
computer-aided engineering,Loyalty program
computational statistics,Information systems
optical software,SDK
newspaper content,Windows Movie Maker
cryptography standards,Configuration management database
time series software,MIPS architecture
free file comparison tools,Metrology
automotive software,Succession planning
cognition,VSTS Profiler
software features,System monitoring
garden plants of australia,Tableau
chief financial officers,Banking software
recommender systems,OHSAS 18001
open standards,Continuous delivery
nonlinear filters,Ganglia
signaling system 7,Strategic communication
technology-related lists,Industrial engineering
adobe flash,CAT5
jedec standards,Sonet
human activities with impact on the environment,Log management
enterprise linux distributions,Solid modeling
search algorithms,wxGlade
wars involving haiti,Heavy equipment
north america-centric,Google Web Toolkit
radio stations in texas,SAP Business One
electromagnetic spectrum,FLSA
nuclear medicine,Curriculum development
animal superheroes,Cell biology
help desk software,Centrify
apple inc. mobile phones,OSIsoft
job evaluation,AMPL
creative commons-licensed websites,Medical devices
xml-based programming languages,Command Prompt
declarative markup languages,Adobe Wallaby
gustav kirchhoff,NAT
software modeling language,Microsoft Office Live
unit testing,Pneumatics
healthcare software for os x,Boosting
software engineering costs,UEFI
chip carriers,System on a chip
free software programmed in c sharp,ISMF
telephony equipment,Product strategy
build automation,Spring
"cities in santa clara county, california",Database security
portable software,PCI Express
balance sheet,Microsoft Visio
crypto-anarchism,COSO
bamboo taxa,Budget
hacking (hobbyist),SQL
blade weapons,Windows Deployment Services
cinematic techniques,Batch processing
integrated development environments,Apache Avro
advertising occupations,PrimeFaces
electroencephalography,Clonezilla
european feminine given names,Windows Registry
military communications of the united states,2D animation
securities (finance),Apache Cocoon
simulation programming languages,wxPython
globalization terminology,Microsoft SCOM
teletraffic,HUM
project management,EMIR
newspaper content,Conceptualization
documents,Hercules
government agencies of queensland,NOMAD
slovak-language surnames,Air traffic management
audio amplifiers,Treasury management
defense intelligence agency,Microsoft FRx
airports in morocco,Jython
electric power,Socket programming
cryptography,Enterprise services
shading languages,FastLoad
accounting organizations,Netezza
defunct football clubs in england,Outbound marketing
data warehousing,Logical data model
data warehousing products,ArcMap
models of computation,Apache Forrest
japanese robotics,Desktop publishing
"walnut creek, california",Icinga
copyright enforcement,STAAD
internet privacy,Management agent
text editors that use gtk+,Software security
horned deities,Mixture model
linux distributions,Virtual office
cryptographic protocols,Amazon Route 53
lagrangian mechanics,Usability testing
oracle software,Business valuation
concurrent programming languages,JMS
transmission (record label) live albums,Network architecture
newar,Game design
agriculturally beneficial insects,Place and route
persecution of christians,Adobe CS
10th-century iranian people,Apache Lenya
american jazz singers,cron
x-ray scattering,Bug tracking
adobe photoshop,Coaching
boot loaders,Uniface
unix process- and task-management-related software,Microsoft Windows Server 2008
international relations,MASINT
php frameworks,Data Transformation Services
android wear software,Work breakdown structure
c (programming language),Meta-data management
united states department of the treasury agencies,Solid-state physics
retail pos systems,Apache Storm
military communications,Mono
crime prevention,OFSAA
image organizers,HOMER
xbase programming language family,Message broker
x-ray scattering,Command-line interface
ultraviolet radiation,Stochastic modelling
"burlington, massachusetts",Web hosting
backup software for os x,OSINT
file transfer protocol,DreamFactory
nuclear command and control,WinSCP
personal selling,Smart grid
microcomputer software,TeamQuest
hoteliers,WMI
artificial satellites orbiting earth,TIRKS
cp/m technology,Hogan
video games set in peru,Digital photography
medical treatments,Computational finance
international sanctions,MRI
physical security,TypeScript
ansi standards,Centrify
competitive intelligence,Apache Avalon
early modern european swords,Life insurance
linux apis,Xtend
hellenistic engineering,Fiscal
france–switzerland border crossings,J2EE
documents,Mutation testing
prismatoid polyhedra,CIDNE
wireless networking standards,Windows Movie Maker
angels,WiMAX
horned deities,Crypto
science software that uses gtk+,iMacros
declarative markup languages,IT
jedec standards,Service level
mpeg,HEAT
adobe flash,Microsoft Certified Professional
pl/sql editors,Cost-benefit analysis
computer algebra systems,SolidWorks
legal literature,Video game development
sdram,Media planning
open-source intelligence,Zemax
huawei,IRAF
japanese language,Prepress
logic,IBM System i
trade secrets,Final Cut Pro X
vehicle telematics,Hidden Markov model
direct marketing,RTL
federal bureau of investigation,NAS
italian feminine given names,TIBCO Rendezvous
nokia,Industrial engineering
first aid,Cost management
freeware,SOX 404
aid,HP Business Service Management
recommender systems,Informatics
mobile operating systems,OpenSSL
nursing,ADO.NET
software that uses wxwidgets,QGIS
best supporting actor golden globe (film) winners,Writing
united states department of energy national laboratories,Strategy
trigonal minerals,JCA
engineering concepts,JSP
eye,RAR
microsoft office servers,Cell biology
digital radio,Microsoft Publisher
swaminarayan sect of hinduism,Flat file
nortel,FLTK
units of frequency,wxPython
.net programming languages,TSYS
chinese languages in singapore,C++
sony creative software,Manufacturing engineering
newar,Mono
calendaring software,RFDS
telephone services,JProfiler
income statement,Erdas Imagine
retail pos systems,Mortgage
15th-century italian painters,STMS
consulting,Network architecture
computer animation,HEAT
linux apis,Apache Solr
proteomics,AWE
information technology,Bookkeeping
east asia,Adobe Social
miquelon-langlade,Rock mechanics
politics by issue,VoiceXML
radio spectrum,ISSAP
eclipse technology,Biotechnology
hewlett-packard products,PDA
customer experience,Acronis True Image
automobile costs,Ambulatory care
call-recording software,GDP
business process modelling,Web analytics
computer-aided engineering,JavaServer Faces
surveying,HTML
podcasting,Mortgage servicing
united states air force,Communications protocol
note-taking software,Solaris Cluster
brazilian styles of music,SIP
radioactive contamination,International business
firefox,Control flow graph
chief financial officers,OTDOA
income statement,IDLE
computer algebra system software for linux,Oracle Management Server
art materials,Location-based services
algebraic graph theory,MarkLogic
open-source software hosting facilities,Kernel-based Virtual Machine
asset,Marketing operations
airports in morocco,New product introduction
business process modelling,XMetaL
asset,Kismet
flynn's taxonomy,Oracle Secure Global Desktop
statistical forecasting,SIMD
computer programming tools,Data mapping
machine to machine,System documentation
ships transferred under project hula,Forecasting
linux word processors,Adobe Flash Media Server
joyent,MAS 90
mumps programming language family,Vim
smalltalk programming language family,VAX
image processing,MAPI
timing in electronic circuits,Lifecycle
medical ethics,Oracle Communications Messaging Server
navy chiefs of staff,Digital electronics
source-based linux distributions,PSpice
rhizomatous plants,Code optimization
visual effects,CPython
customer loyalty programs,Packet analysis
stem vegetables,Tikhonov regularization
panorama viewers,NAT
jersey,Xamarin
analysis,Laboratory
formal methods,NTFS
video compression,Rackspace
20th-century american singers,Organizational development
indian premier league franchise owners,Foundry
web service development tools,WMOS
japan,Unreal Engine
inquiry,Software licensing
real-time operating systems,Xtend
chinese-american culture in texas,Apache Attic
mathematical terminology,HLLAPI
buildings and structures in davao city,OrgSync
mobile telecommunications standards,Research and development
project management institute,Microcontrollers
television channels in italy,Clarizen
mount everest,Oracle Application Express
git (software),Virtual office
desktop publishing software,Power management
computer ethics,MSC Software
lists of coordinates,Demand forecasting
xbase programming language family,PowerCLI
restaurant terminology,Unit testing
blackberry software,3D modeling
embedded linux,OLE DB
speech recognition,Certified Ethical Hacker
pattern matching,JavaBeans
15th-century italian sculptors,Performance appraisal
internet forum software,Mass spectrometry
electronic design automation software,eXist
neurological disorders in children,Windows Installer
call-recording software,Internet marketing
lists of coordinates,Code review
sphyraenidae,FileZilla
life insurance,Telecommunication Management Network model
discontinued microsoft development tools,Zendesk
process engineering,FOCUS
electric vehicle battery manufacturers,Stani's Python Editor
document-centric xml-based standards,Internal Orders
crypto-anarchism,IPv6
eclipse technology,ADF
water treatment,End-user computing
analysis of algorithms,HSRP
defunct record labels of the united kingdom,Underscore.js
public health education,Logic Pro
transformers (electrical),Broadcast engineering
database-related software for linux,Aptana
free typesetting software,Microsoft SharePoint
council of the european union,DDR SDRAM
emi,S1000D
debian,IBM Query Management Facility
plant subfamilies,TRIRIGA
digital radio,Knowledge sharing
concepts in ancient greek epistemology,Design for manufacturability
cern experiments,SIGTRAN
remote administration software,Materials management
automobile costs,Sound Forge
united states environmental protection agency,Pneumatics
computer programming tools,Physics
adobe photoshop,OCAP
electronic documents,Software asset management
energy and instincts,Altera Quartus
motor control,Feasibility study
signals intelligence,Switchboard
integrated development environments,Cross-functional team
official documents,NetWare
information retrieval evaluation,Scribe
.net programming languages,VPN
petroleum engineering,Set-top box
urban studies and planning terminology,Data integration
banking infrastructure,Microscopy
19th-century french painters,Customer lifecycle management
c posix library,RSS
reuters,Coaching
news aggregators,Lua
object-oriented programming languages,TestLink
free project management software,Mastercam
telephone connectors,JVA
organizations designated as terrorist by russia,JBuilder
securities (finance),Serial communication
media readers,Enterprise search
works with imslp links,eMASS
public health education,Go to market
classical mechanics,NIST
statistical natural language processing,Adobe Bridge
architectural elements,Counterintelligence
art directors,LogicalDOC
christian philosophy,Resource management
digital radio,JavaPOS
spatial database management systems,Video engineering
hdr tone mapping software,FEAF
quantum optics,Monarch
smalltalk programming language family,DAX
lists of coordinates,Word-sense induction
raster graphics editors,E-learning
remote administration software,GAAP
document-oriented databases,Communication planning
data mapping,Control engineering
biography with signature,EViews
mules,calibre
national symbols of syria,k q-flats
telecommunications,Life insurance
unesco,Market intelligence
embedded linux,Optical disc authoring
command-line software,Sony Vegas Pro
engine technology,Backbone.js
pearson plc,Human resources
exercise physiology,Science
statically typed programming languages,Business software
backup software for windows,Ariba
unesco,TorChat
anthropology,Remote administration
search algorithms,Corporate development
wan optimization,Software design
incident management,Inspection
catholic titular sees in europe,AOP
system monitors,Continuum mechanics
insurance legislation,Windows Registry
military supporting service occupations,FOCUS
american anti-fascists,Veritas Cluster Server
faster-than-light communication,Bookkeeping
medicinal chemistry,FERC
rafael advanced defense systems,Frame Relay
coaxial connectors,Digital illustration
authentication protocols,Arduino
file comparison tools,SecureCRT
military research facilities of the united states,RACF
diagrams,Computer operator
information theory,Privacy
financial markets,GIMP
language,Security
north american numbering plan,HEDIS
newar,Retail management
christian philosophy,Biology
identity management systems,Video tracking
unix archivers and compression-related utilities,Design engineering
wars involving haiti,Hitachi
child labor in the united states,Hand tools
7th-century births,Black-box testing
defense intelligence agency,NACHA
software that uses cairo,Public health
mac os apis,OAuth
federal bureau of investigation,Log management
united states department of commerce agencies,Microsoft PowerPoint
atari st software,Active learning
lagrangian mechanics,3G Bridge
american odd fellows,HQL
rich internet application frameworks,Verint
scientific simulation software,Information lifecycle management
open standards,Apache Cocoon
birds by common name,Pharmacology
